playbackID,playbackVideo,duration,roadName,dateAndTime
1,runs\detect\exp74\XVR_ch5_main_20220114080004_20220114090004.mp4,0:00:34,road name,2022-02-13
1,runs\detect\exp74\XVR_ch5_main_20220114080004_20220114090004.mp4,0:02:27,road name,2022-02-13
1,runs\detect\exp267\XVR_ch5_main_20220114090004_20220114100004.mp4,0:00:07,road name,2022-02-16
1,runs\detect\exp268\XVR_ch5_main_20220114090004_20220114100004.mp4,0:00:05,road name,2022-02-16
1,runs\detect\exp269\XVR_ch5_main_20220114100004_20220114110004.mp4,0:00:10,road name,2022-02-16
1,runs\detect\exp270\XVR_ch5_main_20220114100004_20220114110004.mp4,0:00:22,road name,2022-02-16
1,runs\detect\exp271\XVR_ch5_main_20220114100004_20220114110004.mp4,0:00:09,road name,2022-02-16
1,runs\detect\exp272\XVR_ch5_main_20220114100004_20220114110004.mp4,0:00:33,road name,2022-02-16
